,word,num_words,ranking,ranking_log,num_words_log
464,Em,14,464,6.13988455223,2.63905732962
465,houve,14,465,6.14203740559,2.63905732962
466,dedos,14,466,6.14418563413,2.63905732962
467,filósofo,14,467,6.14632925767,2.63905732962
468,vai,14,468,6.14846829592,2.63905732962
469,teatro,14,469,6.15060276845,2.63905732962
470,estou,14,470,6.1527326947,2.63905732962
471,espécie,14,471,6.15485809402,2.63905732962
472,mistério,14,472,6.15697898559,2.63905732962
473,capitão,14,473,6.15909538849,2.63905732962
474,obra,14,474,6.1612073217,2.63905732962
475,memória,14,475,6.16331480403,2.63905732962
476,caminho,14,476,6.16541785423,2.63905732962
477,alcova,14,477,6.16751649089,2.63905732962
478,noiva,14,478,6.16961073249,2.63905732962
479,diz,14,479,6.17170059741,2.63905732962
480,contra,14,480,6.1737861039,2.63905732962
481,Nem,14,481,6.17586727011,2.63905732962
482,última,14,482,6.17794411405,2.63905732962
483,dá,14,483,6.18001665365,2.63905732962
484,forte,14,484,6.18208490672,2.63905732962
485,Na,14,485,6.18414889094,2.63905732962
486,pobre,13,486,6.1862086239,2.56494935746
487,irmã,13,487,6.18826412308,2.56494935746
488,eles,13,488,6.19031540585,2.56494935746
489,essas,13,489,6.19236248947,2.56494935746
490,inteiramente,13,490,6.1944053911,2.56494935746
491,sou,13,491,6.19644412779,2.56494935746
492,dali,13,492,6.19847871649,2.56494935746
493,sistema,13,493,6.20050917404,2.56494935746
494,João,13,494,6.20253551719,2.56494935746
495,pena,13,495,6.20455776257,2.56494935746
496,amigo,13,496,6.20657592672,2.56494935746
497,luz,13,497,6.2085900261,2.56494935746
498,trinta,13,498,6.21060007702,2.56494935746
499,sabe,13,499,6.21260609575,2.56494935746
500,notícia,13,500,6.21460809842,2.56494935746
501,cara,13,501,6.21660610108,2.56494935746
502,único,13,502,6.21860011969,2.56494935746
503,lhes,13,503,6.2205901701,2.56494935746
504,além,13,504,6.22257626807,2.56494935746
505,doce,13,505,6.22455842928,2.56494935746
506,casamento,13,506,6.22653666929,2.56494935746
507,anterior,13,507,6.22851100359,2.56494935746
508,sabia,13,508,6.23048144758,2.56494935746
509,mar,13,509,6.23244801655,2.56494935746
510,importa,13,510,6.23441072572,2.56494935746
511,elegante,13,511,6.2363695902,2.56494935746
512,ouvir,13,512,6.23832462504,2.56494935746
513,pés,13,513,6.24027584517,2.56494935746
514,prata,13,514,6.24222326546,2.56494935746
515,baixo,13,515,6.24416690066,2.56494935746
516,cima,13,516,6.24610676548,2.56494935746
517,Está,13,517,6.24804287451,2.56494935746
518,Dutra,13,518,6.24997524226,2.56494935746
519,deixou,13,519,6.25190388317,2.56494935746
520,fundo,13,520,6.25382881158,2.56494935746
521,rir,13,521,6.25575004175,2.56494935746
522,deixei,13,522,6.25766758788,2.56494935746
523,poder,12,523,6.25958146406,2.48490664979
524,Pobre,12,524,6.26149168432,2.48490664979
525,alegre,12,525,6.26339826259,2.48490664979
526,lugar,12,526,6.26530121274,2.48490664979
527,Vilaça,12,527,6.26720054854,2.48490664979
528,elas,12,528,6.26909628371,2.48490664979
529,poeta,12,529,6.27098843186,2.48490664979
530,Há,12,530,6.27287700655,2.48490664979
531,ontem,12,531,6.27476202124,2.48490664979
532,ofício,12,532,6.27664348934,2.48490664979
533,arte,12,533,6.27852142417,2.48490664979
534,tempos,12,534,6.28039583896,2.48490664979
535,crer,12,535,6.2822667469,2.48490664979
536,teu,12,536,6.28413416107,2.48490664979
537,sege,12,537,6.28599809451,2.48490664979
538,Olhe,12,538,6.28785856016,2.48490664979
539,atenção,12,539,6.28971557091,2.48490664979
540,emplasto,12,540,6.29156913956,2.48490664979
541,vista,12,541,6.29341927885,2.48490664979
542,Viegas,12,542,6.29526600144,2.48490664979
543,aquele,12,543,6.29710931993,2.48490664979
544,dito,12,544,6.29894924686,2.48490664979
545,perguntei,12,545,6.30078579466,2.48490664979
546,qualquer,12,546,6.30261897574,2.48490664979
547,miséria,12,547,6.30444880242,2.48490664979
548,mesa,12,548,6.30627528695,2.48490664979
549,quase,12,549,6.30809844151,2.48490664979
550,naquela,12,550,6.30991827823,2.48490664979
551,cheguei,12,551,6.31173480915,2.48490664979
552,Nada,12,552,6.31354804628,2.48490664979
553,séculos,12,553,6.31535800152,2.48490664979
